"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "CSS", "JSON with Comments", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/invincibleinventor/falarapp/components/QuickieLikeComponent.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 0, 0, 0, 0, 12, 126
"/Users/invincibleinventor/falarapp/components/QuickieMakerComponent.tsx", "TypeScript JSX", 0, 407, 0, 0, 0, 0, 0, 0, 5, 18, 430
"/Users/invincibleinventor/falarapp/components/SearchComponent.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/invincibleinventor/falarapp/components/SettingsBar.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 10, 2, 48
"/Users/invincibleinventor/falarapp/components/SettingsItem.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"/Users/invincibleinventor/falarapp/components/SideBar.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/invincibleinventor/falarapp/components/StoriesView.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/invincibleinventor/falarapp/components/StoryComponent.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/invincibleinventor/falarapp/components/Trending.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 4, 87
"/Users/invincibleinventor/falarapp/components/UserComponent.tsx", "TypeScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 0, 9, 129
"/Users/invincibleinventor/falarapp/components/stories.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/invincibleinventor/falarapp/components/whotofollow.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 0, 4, 70
"/Users/invincibleinventor/falarapp/components/whouser.tsx", "TypeScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 0, 7, 71
"/Users/invincibleinventor/falarapp/config/config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/invincibleinventor/falarapp/middleware.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 5, 5, 53
"/Users/invincibleinventor/falarapp/next.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"/Users/invincibleinventor/falarapp/package-lock.json", "JSON", 0, 0, 0, 0, 0, 18039, 0, 0, 0, 1, 18040
"/Users/invincibleinventor/falarapp/package.json", "JSON", 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"/Users/invincibleinventor/falarapp/postcss.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/invincibleinventor/falarapp/public/gradient.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/Users/invincibleinventor/falarapp/tailwind.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 2, 23
"/Users/invincibleinventor/falarapp/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/Users/invincibleinventor/falarapp/utils/notifications/PostNotifications.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 55
"/Users/invincibleinventor/falarapp/utils/notifications/notification.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/invincibleinventor/falarapp/utils/supabase/client.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/invincibleinventor/falarapp/utils/supabase/middleware.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 3, 4, 62
"/Users/invincibleinventor/falarapp/utils/supabase/server.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 6, 2, 31
"Total", "-", 47, 10144, 240, 180, 47, 18119, 34, 9, 91, 718, 29629
